round_number,draw_date,weekday,n3_rehearsal,n4_rehearsal,n3_winning,n4_winning
6774,2025-07-22,1,168,8714,282,1869
6773,2025-07-21,0,224,7780,151,8965
6772,2025-07-18,4,601,2462,112,5024
6771,2025-07-17,3,442,2337,330,9746
6770,2025-07-16,2,693,2037,965,9841
6769,2025-07-15,1,548,5552,822,0324
6768,2025-07-14,0,588,5225,904,2759
6767,2025-07-11,4,324,0172,202,8963
6766,2025-07-10,3,364,4790,503,8664
6765,2025-07-09,2,843,5358,209,3687
6764,2025-07-08,1,614,2982,956,1394
6763,2025-07-07,0,190,9181,741,2382
6762,2025-07-04,4,407,2452,839,1800
6761,2025-07-03,3,108,1479,472,8897
6760,2025-07-02,2,897,3099,184,1701
6759,2025-07-01,1,307,6759,571,6568
6758,2025-06-30,0,149,6757,670,8218
6757,2025-06-27,4,621,2940,578,6018
6756,2025-06-26,3,458,8622,098,1906
6755,2025-06-25,2,306,8174,938,1367
6754,2025-06-24,1,652,1351,486,0060
6753,2025-06-23,0,870,4804,470,4466
6752,2025-06-20,4,536,7102,721,1869
6751,2025-06-19,3,695,5354,155,8965
6750,2025-06-18,2,120,7592,082,5024
6749,2025-06-17,1,482,0975,578,9746
6748,2025-06-16,0,040,6326,836,9841
6747,2025-06-13,4,069,2482,395,0324
6746,2025-06-12,3,535,7666,342,2759
6745,2025-06-11,2,918,3176,265,8963
6744,2025-06-10,1,284,3142,640,8664
6743,2025-06-09,0,490,5084,365,3687
6742,2025-06-06,4,227,6563,450,1394
6741,2025-06-05,3,066,9318,855,2382
6740,2025-06-04,2,819,5944,731,1800
6739,2025-06-03,1,800,2370,644,8897
6738,2025-06-02,0,898,2839,364,1701
6737,2025-05-30,4,549,7141,541,6568
6736,2025-05-29,3,849,6779,922,5220
6735,2025-05-28,2,564,7357,897,4396
6734,2025-05-27,1,238,3697,569,2082
6733,2025-05-26,0,902,9115,705,2905
6732,2025-05-23,4,752,2718,285,6758
6731,2025-05-22,3,680,9899,061,0731
6730,2025-05-21,2,355,2762,564,3402
6729,2025-05-20,1,263,6418,092,8424
6728,2025-05-19,0,870,9601,588,9410
6727,2025-05-16,4,611,4116,780,2342
6726,2025-05-15,3,371,4368,644,0012
6725,2025-05-14,2,122,1898,745,8327
6724,2025-05-13,1,152,9565,824,1258
6723,2025-05-12,0,502,8892,827,1594
6722,2025-05-09,4,190,1883,454,0348
6721,2025-05-08,3,990,8156,731,8042
6720,2025-05-07,2,990,1952,471,9783
6719,2025-05-06,1,157,0081,145,9522
6718,2025-05-05,0,133,8391,919,8674
6717,2025-05-02,4,652,2948,275,4731
6716,2025-05-01,3,752,8968,946,7253
6715,2025-04-30,2,878,5323,340,5168
6714,2025-04-29,1,253,3449,732,8210
6713,2025-04-28,0,718,1670,513,6114
6712,2025-04-25,4,446,4071,382,1081
6711,2025-04-24,3,978,9686,698,7379
6710,2025-04-23,2,896,7059,099,4595
6709,2025-04-22,1,020,6697,320,2884
6708,2025-04-21,0,637,7834,009,1170
6707,2025-04-18,4,440,4811,355,2300
6706,2025-04-17,3,249,8842,182,5578
6705,2025-04-16,2,629,7555,829,1367
6704,2025-04-15,1,574,2166,123,7238
6703,2025-04-14,0,313,1820,507,0463
6702,2025-04-11,4,543,7011,252,0636
6701,2025-04-10,3,467,7856,593,6704
6700,2025-04-09,2,046,4013,516,2614
6699,2025-04-08,1,457,4417,959,7525
6698,2025-04-07,0,623,2078,164,4291
6697,2025-04-04,4,214,9721,482,2682
6696,2025-04-03,3,129,7892,288,8157
6695,2025-04-02,2,964,1695,149,3048
6694,2025-04-01,1,515,3671,376,6586
6693,2025-03-31,0,337,8221,059,2062
6692,2025-03-28,4,730,6185,765,5246
6691,2025-03-27,3,725,0745,701,7597
6690,2025-03-26,2,029,8397,452,3451
6689,2025-03-25,1,990,2191,609,9238
6688,2025-03-24,0,948,0488,622,9479
6687,2025-03-21,4,146,1431,468,2671
6686,2025-03-20,3,320,8555,830,5564
6685,2025-03-19,2,099,1087,707,4957
6684,2025-03-18,1,150,9843,838,5099
6683,2025-03-17,0,187,7006,883,4055
6682,2025-03-14,4,766,2853,820,2960
6681,2025-03-13,3,946,0384,454,3394
6680,2025-03-12,2,312,9200,892,7132
6679,2025-03-11,1,036,8261,921,3856
6678,2025-03-10,0,959,8256,600,2690
6677,2025-03-07,4,128,0948,965,8078
6676,2025-03-06,3,417,1781,414,6345
6675,2025-03-05,2,052,8194,762,4848
6674,2025-03-04,1,638,6318,967,0873
6673,2025-03-03,0,422,1170,532,5688
6672,2025-02-28,4,394,4968,605,8933
6671,2025-02-27,3,372,3839,785,2427
6670,2025-02-26,2,996,0664,190,2028
6669,2025-02-25,1,185,9378,725,0934
6668,2025-02-24,0,423,3026,435,1949
6667,2025-02-21,4,531,6398,991,8053
6666,2025-02-20,3,770,1890,057,2440
6665,2025-02-19,2,157,9265,643,4699
6664,2025-02-18,1,804,0385,969,4323
6663,2025-02-17,0,796,6744,292,3789
6662,2025-02-14,4,720,3273,192,4241
6661,2025-02-13,3,354,1946,161,6498
6660,2025-02-12,2,427,3343,875,6408
6659,2025-02-11,1,086,8942,377,9827
6658,2025-02-10,0,249,0859,406,5115
6657,2025-02-07,4,100,3881,688,0100
6656,2025-02-06,3,033,0853,622,5590
6655,2025-02-05,2,973,2317,918,2647
6654,2025-02-04,1,799,4827,812,0365
6653,2025-02-03,0,168,0235,904,7357
6652,2025-01-31,4,020,1596,551,3781
6651,2025-01-30,3,577,5400,155,0194
6650,2025-01-29,2,314,9590,042,5663
6649,2025-01-28,1,763,0893,334,4961
6648,2025-01-27,0,169,7240,678,4259
6647,2025-01-24,4,557,2315,294,0818
6646,2025-01-23,3,239,5420,778,8600
6645,2025-01-22,2,842,6385,043,8068
6644,2025-01-21,1,496,8259,031,3219
6643,2025-01-20,0,672,4409,456,3798
6642,2025-01-17,4,944,9774,721,9980
6641,2025-01-16,3,100,2324,274,6356
6640,2025-01-15,2,216,1366,847,3258
6639,2025-01-14,1,606,0135,560,3714
6638,2025-01-13,0,265,8583,765,3045
6637,2025-01-10,4,669,1599,379,5736
6636,2025-01-09,3,207,5802,223,7266
6635,2025-01-08,2,462,1786,317,5694
6634,2025-01-07,1,238,3754,531,7021
6633,2025-01-06,0,188,0685,370,1824
6632,2024-12-30,0,303,9983,566,8208
6631,2024-12-27,4,953,4386,254,1752
6630,2024-12-26,3,315,4119,729,4564
6629,2024-12-25,2,404,0474,597,4015
6628,2024-12-24,1,496,5231,721,9531
6627,2024-12-23,0,495,5892,895,0126
6626,2024-12-20,4,052,0580,285,5112
6625,2024-12-19,3,873,5214,656,1624
6624,2024-12-18,2,108,3498,570,4564
6623,2024-12-17,1,264,0596,502,4888
6622,2024-12-16,0,632,3424,131,4819
6621,2024-12-13,4,409,6199,987,1524
6620,2024-12-12,3,989,9105,211,9351
6619,2024-12-11,2,431,6217,902,7117
6618,2024-12-10,1,205,4259,098,5858
6617,2024-12-09,0,692,2617,417,7101
6616,2024-12-06,4,281,8939,514,7682
6615,2024-12-05,3,710,8253,294,6891
6614,2024-12-04,2,179,0000,264,8870
6613,2024-12-03,1,340,1978,435,7392
6612,2024-12-02,0,175,3920,898,9664
6611,2024-11-29,4,656,3212,136,6468
6610,2024-11-28,3,878,4640,174,0564
6609,2024-11-27,2,638,8963,722,3977
6608,2024-11-26,1,814,5653,386,8761
6607,2024-11-25,0,566,7220,122,2760
6606,2024-11-22,4,147,2532,787,5780
6605,2024-11-21,3,138,3340,600,9409
6604,2024-11-20,2,406,7649,321,0164
6603,2024-11-19,1,956,1088,786,4649
6602,2024-11-18,0,035,5730,506,5145
6601,2024-11-15,4,091,3631,766,5279
6600,2024-11-14,3,530,3952,552,5089
6599,2024-11-13,2,091,3005,571,1508
6598,2024-11-12,1,518,0206,158,3451
6597,2024-11-11,0,230,3369,487,4350
6596,2024-11-08,4,984,8888,955,3760
6595,2024-11-07,3,395,0313,808,4973
6594,2024-11-06,2,359,7143,935,2136
6593,2024-11-05,1,290,2667,791,5704
6592,2024-11-04,0,187,4412,965,5311
6591,2024-11-01,4,241,5709,298,6977
6590,2024-10-31,3,133,4059,989,8998
6589,2024-10-30,2,060,1133,392,0756
6588,2024-10-29,1,161,1995,444,3161
6587,2024-10-28,0,830,2405,514,1267
6586,2024-10-25,4,783,7675,050,8568
6585,2024-10-24,3,021,4428,582,0365
6584,2024-10-23,2,691,5665,650,7319
6583,2024-10-22,1,731,7178,518,9631
6582,2024-10-21,0,934,9546,653,4870
6581,2024-10-18,4,411,8921,190,8137
6580,2024-10-17,3,546,2004,497,3748
6579,2024-10-16,2,983,8407,382,0067
6578,2024-10-15,1,582,5667,680,7409
6577,2024-10-14,0,202,3661,695,9620
6576,2024-10-11,4,751,5126,768,9843
6575,2024-10-10,3,264,0946,119,9948
6574,2024-10-09,2,113,1319,781,2689
6573,2024-10-08,1,014,8903,487,2217
6572,2024-10-07,0,477,5812,641,6301
6571,2024-10-04,4,610,0784,466,9041
6570,2024-10-03,3,097,9299,180,8016
6569,2024-10-02,2,190,9563,819,2611
6568,2024-10-01,1,484,0605,678,7013
6567,2024-09-30,0,549,5211,327,6182
6566,2024-09-27,4,171,5225,411,9215
6565,2024-09-26,3,841,4488,901,6875
6564,2024-09-25,2,835,3119,474,6863
6563,2024-09-24,1,844,5794,276,4158
6562,2024-09-23,0,808,2095,162,7955
6561,2024-09-20,4,776,6411,079,5305
6560,2024-09-19,3,297,2796,726,1743
6559,2024-09-18,2,430,3848,457,5528
6558,2024-09-17,1,669,4601,567,2336
6557,2024-09-16,0,319,3232,264,6318
6556,2024-09-13,4,215,7056,787,8123
6555,2024-09-12,3,527,1130,829,2109
6554,2024-09-11,2,508,4835,595,7247
6553,2024-09-10,1,811,5740,906,6719
6552,2024-09-09,0,500,5705,784,8249
6551,2024-09-06,4,827,7889,148,0668
6550,2024-09-05,3,666,1910,374,1115
6549,2024-09-04,2,385,7828,262,9211
6548,2024-09-03,1,216,9141,835,5138
6547,2024-09-02,0,398,0205,949,2548
6546,2024-08-30,4,864,9909,006,9581
6545,2024-08-29,3,355,1491,440,6022
6544,2024-08-28,2,656,6008,517,8704
6543,2024-08-27,1,376,2390,128,7392
6542,2024-08-26,0,900,7237,616,6452
6541,2024-08-23,4,067,1604,559,9771
6540,2024-08-22,3,801,4618,591,8815
6539,2024-08-21,2,803,8412,591,3930
6538,2024-08-20,1,772,0358,501,2738
6537,2024-08-19,0,684,2057,945,6996
6536,2024-08-16,4,322,1799,603,6763
6535,2024-08-15,3,337,3966,939,3815
6534,2024-08-14,2,051,1770,406,3455
6533,2024-08-13,1,701,4167,903,8636
6532,2024-08-12,0,580,9533,214,0882
6531,2024-08-09,4,270,8424,983,1444
6530,2024-08-08,3,036,8115,211,9536
6529,2024-08-07,2,862,5624,095,0851
6528,2024-08-06,1,802,7007,997,7819
6527,2024-08-05,0,280,1951,006,9552
6526,2024-08-02,4,127,0793,835,1662
6525,2024-08-01,3,098,9118,390,4718
6524,2024-07-31,2,392,1417,279,3900
6523,2024-07-30,1,343,3787,304,2131
6522,2024-07-29,0,853,0780,353,4336
6521,2024-07-26,4,498,4387,897,0795
6520,2024-07-25,3,503,2254,480,5388
6519,2024-07-24,2,643,6533,606,7128
6518,2024-07-23,1,620,2827,910,3333
6517,2024-07-22,0,937,9282,924,6240
6516,2024-07-19,4,086,4044,217,3003
6515,2024-07-18,3,864,6232,033,9181
6514,2024-07-17,2,100,2710,057,3580
6513,2024-07-16,1,884,7487,888,3305
6512,2024-07-15,0,098,8023,499,4348
6511,2024-07-12,4,475,9345,870,9124
6510,2024-07-11,3,335,5209,158,3513
6509,2024-07-10,2,224,7132,970,8901
6508,2024-07-09,1,273,9108,765,0068
6507,2024-07-08,0,810,2208,284,1361
6506,2024-07-05,4,993,6715,648,7234
6505,2024-07-04,3,575,4365,430,4077
6504,2024-07-03,2,094,4896,033,6013
6503,2024-07-02,1,732,5240,035,5624
6502,2024-07-01,0,724,6836,107,7111
6501,2024-06-28,4,364,7285,515,1966
6500,2024-06-27,3,280,2552,571,3518
6499,2024-06-26,2,426,7556,450,7366
6498,2024-06-25,1,018,8337,449,2206
6497,2024-06-24,0,484,2049,800,4011
6496,2024-06-21,4,668,6593,212,9951
6495,2024-06-20,3,017,2322,064,2662
6494,2024-06-19,2,665,2646,165,4346
6493,2024-06-18,1,119,2045,997,2251
6492,2024-06-17,0,421,5640,109,2787
6491,2024-06-14,4,632,5505,894,0006
6490,2024-06-13,3,435,1691,046,0353
6489,2024-06-12,2,788,4011,656,1367
6488,2024-06-11,1,529,9400,514,3838
6487,2024-06-10,0,760,0348,854,5970
6486,2024-06-07,4,455,9143,559,4478
6485,2024-06-06,3,781,2384,716,7431
6484,2024-06-05,2,712,9656,950,4764
6483,2024-06-04,1,478,5930,648,2746
6482,2024-06-03,0,199,9947,279,0349
6481,2024-05-31,4,904,1469,983,7786
6480,2024-05-30,3,933,5782,542,5998
6479,2024-05-29,2,419,3644,396,8304
6478,2024-05-28,1,564,3618,736,1645
6477,2024-05-27,0,161,5737,615,6117
6476,2024-05-24,4,267,5201,602,0387
6475,2024-05-23,3,268,4656,154,8625
6474,2024-05-22,2,719,8006,654,0461
6473,2024-05-21,1,526,4677,442,9308
6472,2024-05-20,0,156,8588,834,7802
6471,2024-05-17,4,872,1380,997,1834
6470,2024-05-16,3,943,6877,159,3292
6469,2024-05-15,2,219,7965,441,7752
6468,2024-05-14,1,772,7167,448,8690
6467,2024-05-13,0,186,2064,696,5141
6466,2024-05-10,4,473,6965,633,1815
6465,2024-05-09,3,271,8593,642,8137
6464,2024-05-08,2,412,1361,746,9315
6463,2024-05-07,1,282,3360,515,2784
6462,2024-05-06,0,827,9100,073,2632
6461,2024-05-03,4,666,1323,512,8563
6460,2024-05-02,3,313,7987,260,7064
6459,2024-05-01,2,907,6135,616,5698
6458,2024-04-30,1,020,3275,993,5595
6457,2024-04-29,0,898,0040,975,7773
6456,2024-04-26,4,279,7210,822,7646
6455,2024-04-25,3,981,6118,480,6266
6454,2024-04-24,2,975,7874,003,3985
6453,2024-04-23,1,806,9319,284,0156
6452,2024-04-22,0,941,1459,670,0810
6451,2024-04-19,4,910,0207,919,2163
6450,2024-04-18,3,736,3690,454,2053
6449,2024-04-17,2,180,3563,067,9016
6448,2024-04-16,1,081,5845,978,7788
6447,2024-04-15,0,089,0597,904,5029
6446,2024-04-12,4,490,8158,723,2197
6445,2024-04-11,3,627,2518,650,4669
6444,2024-04-10,2,668,4170,699,2474
6443,2024-04-09,1,018,1002,025,3801
6442,2024-04-08,0,881,2743,399,1365
6441,2024-04-05,4,639,3364,879,2612
6440,2024-04-04,3,965,6280,431,2735
6439,2024-04-03,2,992,8640,393,1865
6438,2024-04-02,1,440,4591,077,1999
6437,2024-04-01,0,603,3489,311,2772
6436,2024-03-29,4,150,8399,581,9168
6435,2024-03-28,3,578,3918,661,1519
6434,2024-03-27,2,346,4360,430,7445
6433,2024-03-26,1,504,2814,479,2868
6432,2024-03-25,0,391,0224,982,9276
6431,2024-03-22,4,059,5485,195,8364
6430,2024-03-21,3,495,3237,513,5414
6429,2024-03-20,2,978,6496,031,0304
6428,2024-03-19,1,991,5961,047,4601
6427,2024-03-18,0,378,5004,125,3705
6426,2024-03-15,4,957,3988,943,7016
6425,2024-03-14,3,833,6599,333,1469
6424,2024-03-13,2,388,0017,744,5322
6423,2024-03-12,1,494,9146,597,5786
6422,2024-03-11,0,366,7468,797,6158
6421,2024-03-08,4,810,8763,607,5970
6420,2024-03-07,3,956,6822,674,5899
6419,2024-03-06,2,395,9482,184,5829
6418,2024-03-05,1,566,9892,452,8087
6417,2024-03-04,0,017,4511,726,4698
6416,2024-03-01,4,367,3560,915,3449
6415,2024-02-29,3,414,9550,455,1739
6414,2024-02-28,2,983,0825,712,5822
6413,2024-02-27,1,358,5868,082,0671
6412,2024-02-26,0,834,6864,542,4495
6411,2024-02-23,4,834,5651,889,1115
6410,2024-02-22,3,633,7519,043,9385
6409,2024-02-21,2,105,2361,874,5492
6408,2024-02-20,1,541,0042,532,6760
6407,2024-02-19,0,920,7390,274,6232
6406,2024-02-16,4,394,4208,971,3456
6405,2024-02-15,3,963,7029,094,1334
6404,2024-02-14,2,692,7229,924,5028
6403,2024-02-13,1,055,0710,195,3267
6402,2024-02-12,0,916,0045,793,6439
6401,2024-02-09,4,706,5389,137,3589
6400,2024-02-08,3,948,0006,745,1267
6399,2024-02-07,2,791,9372,869,8768
6398,2024-02-06,1,945,3003,839,1806
6397,2024-02-05,0,458,6724,312,7833
6396,2024-02-02,4,546,4692,964,3163
6395,2024-02-01,3,310,9358,292,4323
6394,2024-01-31,2,723,6806,910,1260
6393,2024-01-30,1,802,2137,489,4828
6392,2024-01-29,0,419,9353,563,5201
6391,2024-01-26,4,101,4108,196,9839
6390,2024-01-25,3,796,3648,732,9237
6389,2024-01-24,2,725,2199,655,8455
6388,2024-01-23,1,715,8913,801,3368
6387,2024-01-22,0,385,2651,592,2901
6386,2024-01-19,4,091,8095,293,0640
6385,2024-01-18,3,604,2864,312,8188
6384,2024-01-17,2,320,2293,583,2048
6383,2024-01-16,1,780,8895,919,1769
6382,2024-01-15,0,833,0080,575,2633
6381,2024-01-12,4,919,0944,002,2936
6380,2024-01-11,3,341,9214,292,5243
6379,2024-01-10,2,460,7124,788,0475
6378,2024-01-09,1,389,1610,602,7411
6377,2024-01-08,0,565,4587,647,3543
6376,2024-01-05,4,491,5170,295,4137
6375,2024-01-04,3,013,7405,738,0348
6374,2023-12-29,4,429,0377,925,4478
6373,2023-12-28,3,090,8104,387,7802
6372,2023-12-27,2,451,0942,427,2237
6371,2023-12-26,1,906,2473,109,5791
6370,2023-12-25,0,049,9134,629,3777
6369,2023-12-22,4,850,2986,464,0191
6368,2023-12-21,3,304,2870,908,7508
6367,2023-12-20,2,153,6147,053,2285
6366,2023-12-19,1,118,8696,915,7823
6365,2023-12-18,0,532,9116,763,7892
6364,2023-12-15,4,230,8284,605,8784
6363,2023-12-14,3,169,1228,487,3025
6362,2023-12-13,2,104,2487,857,3393
6361,2023-12-12,1,544,0959,021,7349
6360,2023-12-11,0,558,3872,638,4485
6359,2023-12-08,4,183,5751,536,3245
6358,2023-12-07,3,384,6529,257,9119
6357,2023-12-06,2,204,5235,554,8428
6356,2023-12-05,1,557,1304,261,6537
6355,2023-12-04,0,511,7648,639,7960
6354,2023-12-01,4,082,5892,363,2541
6353,2023-11-30,3,060,1184,794,5441
6352,2023-11-29,2,949,2317,712,2799
6351,2023-11-28,1,041,4077,073,9481
6350,2023-11-27,0,770,0271,389,9266
6349,2023-11-24,4,470,9198,135,6679
6348,2023-11-23,3,443,1239,601,9634
6347,2023-11-22,2,584,6977,351,4715
6346,2023-11-21,1,109,2930,233,9564
6345,2023-11-20,0,502,8867,760,1052
6344,2023-11-17,4,158,2111,395,1529
6343,2023-11-16,3,105,3989,116,1024
6342,2023-11-15,2,802,6562,804,2576
6341,2023-11-14,1,208,7277,078,5513
6340,2023-11-13,0,566,6154,920,4524
6339,2023-11-10,4,060,7197,499,4911
6338,2023-11-09,3,866,0231,534,4462
6337,2023-11-08,2,114,1559,644,6165
6336,2023-11-07,1,595,3861,024,1446
6335,2023-11-06,0,282,3933,535,4502
6334,2023-11-03,4,006,5764,759,4109
6333,2023-11-02,3,840,3388,877,5454
6332,2023-11-01,2,208,0469,753,5691
6331,2023-10-31,1,645,0945,787,3335
6330,2023-10-30,0,400,1487,452,5453
6329,2023-10-27,4,374,1763,813,4558
6328,2023-10-26,3,878,1954,582,6566
6327,2023-10-25,2,880,7059,400,5010
6326,2023-10-24,1,509,3461,775,6634
6325,2023-10-23,0,110,8282,084,2199
6324,2023-10-20,4,712,3302,505,9679
6323,2023-10-19,3,985,2762,529,5433
6322,2023-10-18,2,373,1598,700,2534
6321,2023-10-17,1,844,7379,605,4926
6320,2023-10-16,0,149,9304,141,8172
6319,2023-10-13,4,549,5997,613,7451
6318,2023-10-12,3,550,2277,422,4204
6317,2023-10-11,2,590,6301,324,1306
6316,2023-10-10,1,414,5048,388,0071
6315,2023-10-09,0,209,6283,738,2272
6314,2023-10-06,4,235,8305,679,3741
6313,2023-10-05,3,068,8461,356,2675
6312,2023-10-04,2,484,2959,109,8476
6311,2023-10-03,1,220,5384,652,4079
6310,2023-10-02,0,951,6183,243,3258
6309,2023-09-29,4,103,8286,924,6253
6308,2023-09-28,3,184,5662,482,8565
6307,2023-09-27,2,305,5367,560,9009
6306,2023-09-26,1,251,2668,630,0703
6305,2023-09-25,0,951,5563,302,7314
6304,2023-09-22,4,017,7384,535,2489
6303,2023-09-21,3,876,3400,993,9242
6302,2023-09-20,2,669,0003,362,4650
6301,2023-09-19,1,484,3914,892,9432
6300,2023-09-18,0,577,8587,826,8038
6299,2023-09-15,4,579,7219,767,5503
6298,2023-09-14,3,580,0402,976,4093
6297,2023-09-13,2,751,6372,857,1359
6296,2023-09-12,1,917,1108,841,5297
6295,2023-09-11,0,286,1134,781,3734
6294,2023-09-08,4,928,6470,443,7010
6293,2023-09-07,3,164,9398,195,1409
6292,2023-09-06,2,117,2988,047,8042
6291,2023-09-05,1,007,1115,404,6916
6290,2023-09-04,0,940,1434,802,5637
6289,2023-09-01,4,781,5286,961,8806
6288,2023-08-31,3,052,4044,649,4487
6287,2023-08-30,2,216,8393,197,3539
6286,2023-08-29,1,672,1308,101,5181
6285,2023-08-28,0,075,0855,779,1665
6284,2023-08-25,4,901,8597,773,2632
6283,2023-08-24,3,758,7780,080,3826
6282,2023-08-23,2,326,3295,537,8469
6281,2023-08-22,1,935,4537,778,4988
6280,2023-08-21,0,846,5517,927,3737
6279,2023-08-18,4,035,7425,384,4048
6278,2023-08-17,3,068,1697,602,3342
6277,2023-08-16,2,748,5054,387,7947
6276,2023-08-15,1,747,5677,748,6584
6275,2023-08-14,0,622,5897,255,7523
6274,2023-08-11,4,485,1226,870,4717
6273,2023-08-10,3,692,3793,889,9224
6272,2023-08-09,2,840,5069,532,6877
6271,2023-08-08,1,422,9566,402,9088
6270,2023-08-07,0,555,5294,563,6675
6269,2023-08-04,4,485,0369,396,3851
6268,2023-08-03,3,427,3805,685,8535
6267,2023-08-02,2,507,3090,731,5883
6266,2023-08-01,1,684,7169,500,6390
6265,2023-07-31,0,353,8549,235,3290
6264,2023-07-28,4,558,8071,569,4631
6263,2023-07-27,3,243,2882,430,6037
6262,2023-07-26,2,199,5867,357,1049
6261,2023-07-25,1,023,9793,348,6970
6260,2023-07-24,0,785,1121,118,3415
6259,2023-07-21,4,831,9334,132,7929
6258,2023-07-20,3,430,2247,974,2720
6257,2023-07-19,2,857,3416,751,6709
